"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003859992491","https://ae04.alicdn.com/kf/Se9e7e0a6a0da458593ab963b160c03dbS.jpg",,"Medical Clothes For Women 2022 Women's Short Sleeve V-Neck Pocket Care Workers T-Shirt Tops Summer uniformes de enfermera mujer","USD 6.31","USD 3.09","51%","USD","7","USD 0.22","116","81.6%","https://s.click.aliexpress.com/e/_Dky23iT"
"1005004313689842","https://ae04.alicdn.com/kf/S37112ccd954049179628d024751295d2T.jpg",,"Y2K Summer Women Vintage Streetwear Denim Shorts High Waist Knee Length Wide Leg Baggy Alt Cargo Short Pants Harajuku Clothes","USD 8.60","USD 6.02","30%","USD","10.0","USD 0.60","171","78.8%","https://s.click.aliexpress.com/e/_DFJuCJv"
"1005003073557746","https://ae04.alicdn.com/kf/H0e481a6196c742ebbcf06a3bac3b8fd2J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320148681908.mp4","Sexy Puff Sleeve Bodycon Mini Dress Bandage Birthday Party Outfits for Women Backless Y2k Clothes Night Club Dresses","USD 26.99","USD 13.49","50%","USD","9.0","USD 1.21","97","88.7%","https://s.click.aliexpress.com/e/_DmdH7T9"
"1005004681210772","https://ae04.alicdn.com/kf/Sf7f436ed58ea48f58e13dca1845572e5V.jpg",,"Aikliat New Turtleneck Knitted Women Sweater Cheap Warm Women's Sweater Chic Korean Sweaters Ladies Pullover Sweet Clothes","USD 39.84","USD 18.72","53%","USD","9","USD 1.68","75","90.9%","https://s.click.aliexpress.com/e/_DmdnwoL"
"1005004476874245","https://ae04.alicdn.com/kf/S83e06dd02d0c496eb037a162962a1fcdf.jpg",,"New Fitness ZW Wear ZIN Womens Knitted Cotton  Samba Fitness Zumba Wear Clothes Tshirt  Tops 151  099 110 2730","USD 11.50","USD 11.50","0%","USD","7","USD 0.80","120","94.7%","https://s.click.aliexpress.com/e/_DnDYBFd"
"1005004551577848","https://ae04.alicdn.com/kf/S87401bf470114b55a343bf467e440670c.jpg",,"Summer 2022 Women's Denim Cotton Corset Women's Sexy Bandeau Tank Top New Fashion High Quality T-Shirts y2k Clothes tops bra XL","USD 111.99","USD 57.11","49%","USD","9","USD 5.14","44","100.0%","https://s.click.aliexpress.com/e/_DnF1Vnz"
"1005002419317781","https://ae04.alicdn.com/kf/H5336701fe21f45ea84c080c844cc367cp.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/307363485687.mp4","Seamless 2 Piece Yoga Set Women Gym Clothes Sports Bra+Shorts Set Women's Tracksuit 2 Piece Set Fitness Clothing Workout Clothes","USD 15.30","USD 9.49","38%","USD","8.0","USD 0.76","106","95.0%","https://s.click.aliexpress.com/e/_DdMW5rV"
"4001350013462","https://ae04.alicdn.com/kf/Hc7c4112a2ff94f6ca5d9735fdd8527b1D.jpg",,"Nutritionist dustproof work clothes Cotton uniform Scrubs tops Children's Checkup Center work wear cartoon printing spa uniforms","USD 18.99","USD 6.65","65%","USD","7","USD 0.47","45","93.1%","https://s.click.aliexpress.com/e/_DeS2nbH"
"32808440320","https://ae04.alicdn.com/kf/Sa9506e8c5d2b47439bd05d7e3856e0fcX.jpg",,"Belly dance clothing women luxury belly dance suit bra+shoulder+belt+skirt 4pcs belly dance clothes suit performance suit S M L","USD 105.44","USD 94.90","10%","USD","7","USD 6.64","37","96.7%","https://s.click.aliexpress.com/e/_Dl8r8R1"
"1005004739824523","https://ae04.alicdn.com/kf/Sfc643438676b4aeea785a6cb76b622e7o.jpg",,"Hooded baseball uniform handsome retro Harajuku style jacket spring and autumn student couple sweater clothes hoodies women","USD 11.41","USD 7.99","30%","USD","9","USD 0.72","44","86.7%","https://s.click.aliexpress.com/e/_DF0RvYR"
"1005003234913630","https://ae04.alicdn.com/kf/S0ffc0107eec2436992f56e9f8a49eabeG.jpg",,"Operating Room Medical Uniforms Women Scrubs Clothes Sleeve V-Neck Workers T-Shirt Tops Summer Uniformes  Medical Accessories","USD 17.59","USD 5.80","67%","USD","7","USD 0.41","804","90.0%","https://s.click.aliexpress.com/e/_DkOuITZ"
"1005001598772426","https://ae04.alicdn.com/kf/H307acf28157540aa958e5ddcb5081dc7e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/282694393836.mp4","2021 autumn winter new sports fitness yoga clothes tops online celebrity simple stretch yoga clothes long sleeve T-shirt women","USD 19.99","USD 11.39","43%","USD","7","USD 0.80","30","100.0%","https://s.click.aliexpress.com/e/_DnEvjw7"
"1005002506784616","https://ae04.alicdn.com/kf/H7d3b19cbc73d4d4883d4cdd36b5af7fev.jpg",,"JK White Pantyhose Sexy Fashion Tight Stock Hot Girl 2021 New Net White Drill Fishing Net Tights Slim Women's Cosplay Clothes","USD 3.98","USD 2.87","28%","USD","15.0","USD 0.43","30","100.0%","https://s.click.aliexpress.com/e/_DlUUgnv"
"1005004018691211","https://ae04.alicdn.com/kf/Sadf0439975f34a569959a9c2d5b021e9F.jpg",,"New Japanese Transparent Cute Cartoon Cat Harajuku with Print Fashion Clothes Spring Summer Ultra-thin Funny Women Tube Socks","USD 5.52","USD 2.76","50%","USD","8.0","USD 0.22","147","99.4%","https://s.click.aliexpress.com/e/_Dm3QXRN"
"1005004760468795","https://ae04.alicdn.com/kf/S69bb3d3e007c430091404835675caecap.jpg",,"American high street tide brand retro hooded sweater men and women autumn ins loose all match couple drape coat clothes tops","USD 11.41","USD 7.99","30%","USD","9","USD 0.72","45","100.0%","https://s.click.aliexpress.com/e/_Dnt6179"
"1005004248655419","https://ae04.alicdn.com/kf/Sa627ce0a4f854e7cb4735fc96601ebd8I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069957576.mp4","Modal Cotton Women's Pajamas 2 Piece Set Spring And Summer Loose Sleeveless Round Neck Home Clothes Comfortable Pajama Pants Set","USD 29.43","USD 14.71","50%","USD","7","USD 1.03","183","99.4%","https://s.click.aliexpress.com/e/_DdL4WVz"
"1005002879609278","https://ae04.alicdn.com/kf/Sfcff5b140eb14f24bcce997353c2b432N.jpg",,"Lady Cycling Clothing Road Bike Jersey Summer Women Short Sleeve Shirt Female Bicycle Wear Liv Clothes Ropa Ciclismo Quick Dry","USD 20.00","USD 11.40","43%","USD","8.0","USD 0.91","42","91.4%","https://s.click.aliexpress.com/e/_Dd7rbCX"
"1005002572702535","https://ae04.alicdn.com/kf/H39d3b4218b984c94be5ec3aef5b19de7Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/327562592031.mp4","Tres Pinas Little Monkeys Skinsuit Triathlon Jumpsuits Pro Racing Womens Bicycle Clothes Ciclismo Three-piece suit Bodysuit 2021","USD 49.00","USD 24.01","51%","USD","8.0","USD 1.92","31","80.0%","https://s.click.aliexpress.com/e/_DmibW7h"
"1005004446719774","https://ae04.alicdn.com/kf/Sb9c00584461c47e38bf2f75c28a5567eU.jpg",,"Women's Pullover Sweater Long Sleeve Knitted Loose Casual Fashion Streetwear Office Elegant Clothes Female Off The Shoulder Tops","USD 30.97","USD 15.48","50%","USD","9.0","USD 1.39","23","95.7%","https://s.click.aliexpress.com/e/_DC9YaKr"
"1005004122438305","https://ae04.alicdn.com/kf/S8f8875dcbad74c50aa7a6adcd52328aa9.jpg",,"Women's Vintage Sexy Black Vertical Stripes Pattern Stretchy Tights Pantyhose Women's Stockings Gothic Clothes Sexy Underwear","USD 9.30","USD 5.58","40%","USD","7","USD 0.39","347","93.8%","https://s.click.aliexpress.com/e/_DCAnh9Z"
